"108年12月11日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)",
"寶島股價指數","13,358.63","+","77.47","0.58",
"發行量加權股價指數","11,700.77","+","72.93","0.63",
"臺灣公司治理100指數","6,676.88","+","49.73","0.75",
"臺灣50指數","9,109.45","+","84.42","0.94",
"臺灣50權重上限30%指數","8,997.40","+","74.73","0.84",
"臺灣中型100指數","8,477.96","+","23.85","0.28",
"臺灣資訊科技指數","13,003.59","+","174.27","1.36",
"臺灣發達指數","8,519.91","+","28.91","0.34",
"臺灣高股息指數","6,618.32","+","21.46","0.33",
"臺灣就業99指數","6,824.81","+","25.89","0.38",
"臺灣高薪100指數","6,416.73","+","38.40","0.60",
"未含金融指數","9,902.23","+","66.04","0.67",
"未含電子指數","14,866.58","+","22.46","0.15",
"未含金融電子指數","12,255.42","+","6.93","0.06",
"小型股300指數","6,689.87","+","11.29","0.17",
"水泥窯製類指數","603.59","+","3.06","0.51",
"塑膠化工類指數","830.69","+","0.01","--",
"機電類指數","2,867.87","+","27.16","0.96",
"水泥類指數","167.93","+","0.87","0.52",
"食品類指數","1,765.44","+","12.95","0.74",
"塑膠類指數","255.26","+","0.18","0.07",
"紡織纖維類指數","527.82","+","0.97","0.18",
"電機機械類指數","175.83","-","0.06","-0.03",
"電器電纜類指數","47.58","+","0.05","0.11",
"化學生技醫療類指數","97.95","-","0.16","-0.16",
"化學類指數","102.24","-","0.06","-0.06",
"生技醫療類指數","64.57","-","0.17","-0.26",
"玻璃陶瓷類指數","31.77","+","0.13","0.41",
"造紙類指數","188.14","+","0.08","0.04",
"鋼鐵類指數","99.44","+","0.06","0.06",
"橡膠類指數","260.44","-","0.32","-0.12",
"汽車類指數","331.06","-","0.05","-0.02",
"電子工業類指數","513.13","+","5.02","0.99",
"半導體類指數","216.61","+","3.30","1.55",
"電腦及週邊設備類指數","102.53","+","0.26","0.25",
"光電類指數","40.57","+","0.05","0.12",
"通信網路類指數","127.22","-","0.22","-0.17",
"電子零組件類指數","113.85","+","0.36","0.32",
"電子通路類指數","118.24","+","0.91","0.78",
"資訊服務類指數","117.79","+","0.79","0.68",
"其他電子類指數","88.49","+","0.79","0.90",
"建材營造類指數","301.03","-","0.93","-0.31",
"航運類指數","65.27","-","0.11","-0.17",
"觀光類指數","98.40","+","0.11","0.11",
"金融保險類指數","1,340.32","+","4.70","0.35",
"貿易百貨類指數","249.55","+","0.64","0.26",
"油電燃氣類指數","122.75","+","0.11","0.09",
"其他類指數","277.52","-","0.67","-0.24",
"臺指日報酬兩倍指數","19,157.35","+","237.33","1.25",
"臺指反向一倍指數","6,538.51","-","41.27","-0.63",
"電子類兩倍槓桿指數","16,828.10","+","326.07","1.98",
"電子類反向指數","6,504.12","-","64.90","-0.99",
"價格指數(跨市場)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)",
"臺灣生技指數","4,555.43","-","25.77","-0.56",
"臺灣中小型公司治理指數","5,569.53","+","8.30","0.15",
"臺灣IPO指數","5,424.58","-","7.42","-0.14",
"價格指數(臺灣指數公司)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)",
"金融類日報酬兩倍指數","21,863.37","+","152.80","0.70",
"金融類日報酬反向一倍指數","6,268.31","-","22.14","-0.35",
"漲升股利150指數","6,513.31","+","22.00","0.34",
"漲升股利100指數","6,486.36","+","31.24","0.48",
"藍籌30指數","6,208.76","+","42.69","0.69",
"工業菁英30指數","6,586.90","+","44.19","0.68",
"電子菁英30指數","6,496.69","+","50.48","0.78",
"低波動股利精選30指數","6,124.82","+","18.75","0.31",
"低貝塔100指數","5,956.26","-","3.27","-0.05",
"藍籌30反向一倍指數","7,662.64","-","53.42","-0.69",
"中小型精選50指數","5,814.74","+","13.28","0.23",
"中小型A級動能50指數","7,269.68","+","97.36","1.36",
"特選高息低波指數","5,396.36","+","17.01","0.32",
"臺灣永續指數","5,835.33","+","50.43","0.87",
"工業菁英30反向一倍指數","8,364.20","-","56.88","-0.68",
"特選內需高收益指數","5,670.10","+","5.17","0.09",
"價值投資指數","6,031.41","+","41.81","0.70",
"中小型300指數","6,049.02","+","12.60","0.21",
"臺灣勞工權益指數","5,576.80","+","45.51","0.82",
"報酬指數(臺灣證券交易所)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)",
"寶島股價報酬指數","16,758.23","+","97.19","0.58",
"發行量加權股價報酬指數","21,781.60","+","135.77","0.63",
"臺灣公司治理100報酬指數","8,194.52","+","61.04","0.75",
"臺灣50報酬指數","--","","--","--",
"臺灣50權重上限30%報酬指數","--","","--","--",
"臺灣中型100報酬指數","--","","--","--",
"臺灣資訊科技報酬指數","--","","--","--",
"臺灣發達報酬指數","--","","--","--",
"臺灣高股息報酬指數","--","","--","--",
"臺灣就業99報酬指數","9,430.31","+","35.78","0.38",
"臺灣高薪100報酬指數","8,040.58","+","48.11","0.60",
"未含金融電子報酬指數","23,089.64","+","13.06","0.06",
"小型股300報酬指數","7,886.28","+","13.31","0.17",
"水泥類報酬指數","281.18","+","1.45","0.52",
"食品類報酬指數","2,460.60","+","18.04","0.74",
"塑膠類報酬指數","402.31","+","0.28","0.07",
"紡織纖維類報酬指數","772.86","+","1.42","0.18",
"電機機械類報酬指數","247.86","-","0.08","-0.03",
"電器電纜類報酬指數","64.55","+","0.07","0.11",
"化學生技醫療類報酬指數","140.84","-","0.23","-0.16",
"化學類報酬指數","155.00","-","0.09","-0.06",
"生技醫療類報酬指數","85.17","-","0.22","-0.26",
"玻璃陶瓷類報酬指數","36.34","+","0.15","0.41",
"造紙類報酬指數","262.12","+","0.12","0.05",
"鋼鐵類報酬指數","148.10","+","0.09","0.06",
"橡膠類報酬指數","378.94","-","0.47","-0.12",
"汽車類報酬指數","480.52","-","0.08","-0.02",
"電子工業類報酬指數","872.71","+","8.52","0.99",
"半導體類報酬指數","350.48","+","5.34","1.55",
"電腦及週邊設備類報酬指數","191.00","+","0.48","0.25",
"光電類報酬指數","54.48","+","0.08","0.15",
"通信網路類報酬指數","240.38","-","0.41","-0.17",
"電子零組件類報酬指數","192.41","+","0.61","0.32",
"電子通路類報酬指數","234.59","+","1.82","0.78",
"資訊服務類報酬指數","233.10","+","1.58","0.68",
"其他電子類報酬指數","125.41","+","1.13","0.91",
"建材營造類報酬指數","519.57","-","1.61","-0.31",
"航運類報酬指數","88.17","-","0.15","-0.17",
"觀光類報酬指數","126.57","+","0.15","0.12",
"金融保險類報酬指數","2,045.80","+","7.17","0.35",
"貿易百貨類報酬指數","356.54","+","0.91","0.26",
"油電燃氣類報酬指數","178.70","+","0.15","0.08",
"其他類報酬指數","427.37","-","1.04","-0.24",
"報酬指數(跨市場)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)",
"臺灣生技報酬指數","4,787.46","-","27.08","-0.56",
"臺灣中小型公司治理報酬指數","6,400.23","+","9.53","0.15",
"臺灣IPO報酬指數","5,767.42","-","7.88","-0.14",
"報酬指數(臺灣指數公司)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)",
"漲升股利150報酬指數","7,703.72","+","26.02","0.34",
"漲升股利100報酬指數","7,692.98","+","37.05","0.48",
"藍籌30報酬指數","7,044.73","+","48.44","0.69",
"工業菁英30報酬指數","7,482.20","+","50.20","0.68",
"電子菁英30報酬指數","7,311.04","+","56.79","0.78",
"低波動股利精選30報酬指數","7,000.61","+","21.43","0.31",
"低貝塔100報酬指數","6,790.67","-","3.73","-0.05",
"中小型精選50報酬指數","6,736.15","+","15.38","0.23",
"中小型A級動能50報酬指數","7,908.93","+","105.92","1.36",
"特選高息低波報酬指數","6,266.33","+","19.76","0.32",
"臺灣永續報酬指數","--","","--","--",
"特選內需高收益報酬指數","6,312.21","+","5.76","0.09",
"價值投資報酬指數","6,840.25","+","47.42","0.70",
"存股雙十等權重報酬指數","5,737.44","+","33.17","0.58",
"特選大蘋果報酬指數","6,386.44","+","45.94","0.72",
"中小型300報酬指數","6,305.57","+","13.14","0.21",
"特股高息20報酬指數","5,530.52","-","7.55","-0.14",
"臺灣500報酬指數","6,260.87","+","39.79","0.64",
"特選外資豐擁50報酬指數","6,339.78","+","48.06","0.76",
"臺灣勞工權益報酬指數","5,816.86","+","47.48","0.82",
"微波高息精選20報酬指數","5,180.98","+","10.93","0.21",
"特選世代行動通訊報酬指數","4,954.22","+","5.43","0.11",
"108年12月11日 大盤統計資訊"
"成交統計","成交金額(元)","成交股數(股)","成交筆數",
"1.一般股票","119,135,055,900","2,283,677,000","854,181",
"2.台灣存託憑證","38,888,250","11,858,000","1,217",
"3.受益憑證","0","0","0",
"4.ETF","2,966,985,805","180,251,400","22,369",
"5.受益證券","25,928,060","1,568,000","126",
"6.變更交易股票","10,538,930","3,602,000","856",
"7.認購(售)權證","2,139,568,140","1,506,840,000","81,086",
"8.轉換公司債","0","0","0",
"9.附認股權特別股","0","0","0",
"10.附認股權公司債","0","0","0",
"11.認股權憑證","0","0","0",
"12.公司債","0","0","0",
"13.ETN","2,599,690","344,000","49",
"證券合計(1+6)","119,145,594,830","2,287,279,000","855,037",
"總計(1~13)","124,319,564,775","3,988,140,400","959,884",
"漲跌證券數合計"
"類型","整體市場","股票",
"上漲(漲停)","4,047(13)","426(12)",
"下跌(跌停)","3,701(15)","379(0)",
"持平","596","122",
"未成交","6,890","4",
"無比價","1,262","5",
"備註:"
""漲跌價差"為當日收盤價與前一日收盤價比較。",
""無比價"含前一日無收盤價、當日除權、除息、新上市、恢復交易者。",
"不加計外幣交易證券交易金額。",

"108年12月11日每日收盤行情(全部(不含權證、牛熊證))"
"(元,股)",,,,,,,,,,,"(元,交易單位)",,,,,
"證券代號","證券名稱","成交股數","成交筆數","成交金額","開盤價","最高價","最低價","收盤價","漲跌(+/-)","漲跌價差","最後揭示買價","最後揭示買量","最後揭示賣價","最後揭示賣量","本益比",
="0050","元大台灣50","1,902,000","804","177,764,400","93.00","93.75","92.95","93.75","+","0.75","93.75","231","93.80","103","0.00",
="0051","元大中型100","5,000","5","173,960","34.80","34.80","34.79","34.79","+","0.10","34.69","4","34.79","7","0.00",
="0052","富邦科技","109,000","16","7,508,350","68.60","69.05","68.60","69.05","+","0.75","69.00","4","69.15","3","0.00",
="0053","元大電子","5,000","5","204,110","40.83","40.83","40.79","40.79","+","0.33","40.78","2","40.85","6","0.00",
="0054","元大台商50","1,000","1","24,270","24.27","24.27","24.27","24.27","+","0.05","24.15","23","24.20","8","0.00",
="0055","元大MSCI金融","25,000","22","466,810","18.72","18.72","18.63","18.66","+","0.06","18.65","2","18.70","7","0.00",
="0056","元大高股息","5,918,000","1,788","166,880,990","28.15","28.21","28.15","28.21","+","0.07","28.20","78","28.21","527","0.00",
="0057","富邦摩台","22,000","4","1,306,500","59.25","59.40","59.25","59.40","+","0.65","59.25","20","59.50","2","0.00",
="0058","富邦發達","27,000","9","1,312,130","48.55","48.80","48.43","48.80","-","0.01","48.56","1","49.15","1","0.00",
="0059","富邦金融","0","0","0","--","--","--","--"," ","0.00","48.79","20","49.13","1","0.00",
="0061","元大寶滬深","338,000","112","6,034,360","17.83","17.88","17.82","17.86","+","0.04","17.85","15","17.86","5","0.00",
="006203","元大MSCI台灣","5,000","2","217,500","43.50","43.50","43.50","43.50"," ","0.00","43.60","11","44.09","8","0.00",
="006204","永豐臺灣加權","40,000","2","2,320,000","58.00","58.00","58.00","58.00","+","0.05","58.10","50","58.30","50","0.00",
="006205","富邦上証","1,278,000","130","39,272,040","30.65","30.80","30.65","30.73","+","0.08","30.73","5","30.75","15","0.00",
="006206","元大上證50","91,000","30","2,949,870","32.33","32.45","32.33","32.45","+","0.14","32.42","63","32.45","1","0.00",
="006207","FH滬深","305,000","41","7,116,510","23.33","23.40","23.28","23.35","+","0.06","23.34","58","23.37","10","0.00",
="006208","富邦台50","897,000","145","46,462,400","51.60","51.90","51.55","51.90","+","0.30","51.90","34","51.95","44","0.00",
="00625K","富邦上証+R","52,000","13","375,200","7.22","7.22","7.10","7.10"," ","0.00","7.05","5","7.20","5","0.00",
="00631L","元大台灣50正2","1,174,000","359","58,944,350","49.76","50.50","49.66","50.50","+","0.67","50.50","40","50.55","350","0.00",
="00632R","元大台灣50反1","27,345,000","2,294","282,459,900","10.36","10.37","10.30","10.30","-","0.05","10.30","3,551","10.31","7,098","0.00",
="00633L","富邦上証正2","4,578,000","864","214,885,670","46.94","47.07","46.69","46.99","+","0.19","46.96","13","46.99","8","0.00",
="00634R","富邦上証反1","775,000","48","4,608,660","5.94","5.95","5.93","5.94"," ","0.00","5.93","17","5.95","190","0.00",
="00635U","元大S&P黃金","189,000","82","3,981,080","21.06","21.08","21.05","21.06","+","0.01","21.05","43","21.06","253","0.00",
="00636","國泰中國A50","624,000","173","13,385,390","21.45","21.50","21.43","21.46","+","0.03","21.46","71","21.48","42","0.00",
="00636K","國泰中國A50+U","100","1","704","7.04","7.04","7.04","7.04","+","0.01","7.02","11","7.06","1","0.00",
="00637L","元大滬深300正2","41,915,000","2,653","755,102,310","18.03","18.07","17.92","18.01","+","0.03","18.01","1,377","18.02","238","0.00",
="00638R","元大滬深300反1","74,000","19","879,030","11.86","11.91","11.86","11.88","-","0.01","11.87","102","11.89","6","0.00",
="00639","富邦深100","1,180,000","96","12,670,590","10.76","10.80","10.71","10.74","-","0.01","10.73","3","10.74","302","0.00",
="00640L","富邦日本正2","392,000","25","8,810,630","22.46","22.49","22.40","22.44","-","0.20","22.43","3","22.44","50","0.00",
="00641R","富邦日本反1","119,000","16","1,623,590","13.67","13.67","13.62","13.64","+","0.06","13.64","50","13.67","81","0.00",
="00642U","元大S&P石油","1,139,000","245","19,615,680","17.23","17.25","17.21","17.22","+","0.01","17.22","570","17.23","197","0.00",
="00643","群益深証中小","399,000","142","4,916,830","12.32","12.36","12.26","12.30","+","0.01","12.29","33","12.30","20","0.00",
="00643K","群益深証中小+R","0","0","0","--","--","--","--"," ","0.00","2.80","10","2.87","2","0.00",
="00645","富邦日本","65,000","6","1,434,860","22.02","22.08","22.00","22.08","-","0.10","22.00","34","22.06","50","0.00",
="00646","元大S&P500","285,000","194","8,284,340","29.04","29.11","29.03","29.11","-","0.02","29.10","3","29.11","94","0.00",
="00647L","元大S&P500正2","6,000","6","240,500","40.10","40.10","40.05","40.05","-","0.12","40.05","1","40.08","1","0.00",
="00648R","元大S&P500反1","807,000","68","9,161,700","11.37","11.37","11.34","11.35","-","0.01","11.35","236","11.36","32","0.00",
="00649","FH香港","102,000","62","2,032,050","19.89","19.96","19.88","19.94","+","0.04","19.93","23","19.96","8","0.00",
="00650L","FH香港正2","681,000","142","18,708,510","27.41","27.68","27.31","27.64","+","0.07","27.62","69","27.68","11","0.00",
="00651R","FH香港反1","354,000","83","2,996,870","8.40","8.52","8.40","8.46","-","0.02","8.46","3","8.48","106","0.00",
="00652","富邦印度","65,000","21","1,556,380","23.95","23.97","23.92","23.97","+","0.05","23.94","1","23.95","2","0.00",
="00653L","富邦印度正2","136,000","70","3,994,330","29.38","29.46","29.31","29.46","-","0.07","29.44","3","29.46","32","0.00",
="00654R","富邦印度反1","32,000","15","427,710","13.44","13.44","13.30","13.39","+","0.06","13.38","1","13.39","7","0.00",
="00655L","國泰中國A50正2","2,518,000","519","85,604,660","34.11","34.11","33.81","34.00","+","0.08","34.00","274","34.02","9","0.00",
="00656R","國泰中國A50反1","44,000","10","476,610","10.81","10.87","10.81","10.85","-","0.02","10.83","52","10.85","119","0.00",
="00657","國泰日經225","104,000","6","3,011,810","28.95","28.96","28.95","28.96","-","0.04","28.91","1","28.97","31","0.00",
="00657K","國泰日經225+U","100","1","950","9.50","9.50","9.50","9.50","-","0.02","9.46","15","9.53","16","0.00",
="00658L","國泰日本正2","1,000","1","38,100","38.10","38.10","38.10","38.10","X","0.00","37.90","30","38.10","29","0.00",
="00659R","國泰日本反1","177,000","12","1,970,790","11.15","11.16","11.12","11.12","-","0.01","11.11","55","11.14","33","0.00",
="00660","元大歐洲50","1,000","1","26,020","26.02","26.02","26.02","26.02","-","0.06","25.97","25","26.06","11","0.00",
="00661","元大日經225","0","0","0","--","--","--","--"," ","0.00","29.64","100","29.74","20","0.00",
="00662","富邦NASDAQ","144,000","6","4,697,250","32.63","32.63","32.60","32.60","-","0.08","32.60","5","32.66","70","0.00",
="00663L","國泰臺灣加權正2","108,000","6","4,874,610","44.73","45.18","44.73","45.17","+","0.61","45.16","330","45.17","10","0.00",
="00664R","國泰臺灣加權反1","737,000","149","8,654,680","11.79","11.79","11.70","11.71","-","0.06","11.70","1,254","11.71","360","0.00",
="00665L","富邦恒生國企正2","68,000","36","1,697,160","24.85","25.05","24.76","25.02","+","0.12","25.02","99","25.05","6","0.00",
="00666R","富邦恒生國企反1","84,000","3","1,128,120","13.43","13.43","13.43","13.43","-","0.10","13.42","40","13.47","10","0.00",
="00668","國泰美國道瓊","18,000","6","549,030","30.54","30.54","30.49","30.49","-","0.07","30.49","41","30.53","1","0.00",
="00668K","國泰美國道瓊+U","100","1","1,002","10.02","10.02","10.02","10.02","-","0.02","9.98","11","10.05","11","0.00",
="00669R","國泰美國道瓊反1","416,000","72","4,860,290","11.69","11.70","11.67","11.67","-","0.01","11.67","947","11.68","4","0.00",
="00670L","富邦NASDAQ正2","171,000","20","6,868,980","40.05","40.20","40.03","40.19","-","0.08","40.16","1","40.19","62","0.00",
="00671R","富邦NASDAQ反1","616,000","130","7,015,360","11.40","11.41","11.37","11.39"," ","0.00","11.39","1","11.40","247","0.00",
="00672L","元大S&P原油正2","13,005,000","1,893","206,624,350","15.91","15.93","15.86","15.87"," ","0.00","15.87","3,028","15.88","125","0.00",
="00673R","元大S&P原油反1","9,583,000","1,775","132,607,220","13.83","13.85","13.82","13.85"," ","0.00","13.84","272","13.85","3,014","0.00",
="00674R","元大S&P黃金反1","32,000","22","548,700","17.16","17.16","17.13","17.14","-","0.04","17.13","148","17.15","1","0.00",
="00675L","富邦臺灣加權正2","30,000","15","585,790","19.34","19.59","19.33","19.59","+","0.23","19.56","1","19.58","5","0.00",
="00676R","富邦臺灣加權反1","814,000","89","5,186,250","6.39","6.40","6.36","6.37","-","0.02","6.36","874","6.37","570","0.00",
="00677U","富邦VIX","35,400,000","1,814","119,352,050","3.37","3.39","3.36","3.37"," ","0.00","3.36","3,891","3.37","316","0.00",
="00678","群益NBI生技","357,000","26","8,417,230","23.57","23.59","23.56","23.59","+","0.05","23.57","19","23.60","12","0.00",
="00680L","元大美債20正2","17,000","11","414,080","24.41","24.41","24.33","24.40","-","0.01","24.35","1","24.40","199","0.00",
="00681R","元大美債20反1","1,000","1","15,800","15.80","15.80","15.80","15.80","+","0.01","15.79","1","15.82","65","0.00",
="00682U","元大美元指數","41,000","3","792,920","19.32","19.34","19.32","19.34","-","0.01","19.32","10","19.42","1","0.00",
="00683L","元大美元指數正2","40,000","2","774,000","19.35","19.35","19.35","19.35","-","0.09","19.33","1","19.42","10","0.00",
="00684R","元大美元指數反1","40,000","2","741,600","18.54","18.54","18.54","18.54","+","0.01","18.52","20","18.61","2","0.00",
="00685L","群益臺灣加權正2","9,000","9","154,780","17.11","17.32","17.10","17.32","+","0.20","17.26","10","17.32","1","0.00",
="00686R","群益臺灣加權反1","54,000","16","375,040","6.98","6.98","6.92","6.92","-","0.05","6.92","1,193","6.93","1,200","0.00",
