"108年12月16日 價格指數(臺灣證券交易所)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價指數","13,610.94","+","20.24","0.15","",
"發行量加權股價指數","11,939.77","+","12.04","0.10","",
"臺灣公司治理100指數","6,853.92","-","14.28","-0.21","",
"臺灣50指數","9,365.86","-","30.38","-0.32","",
"臺灣50權重上限30%指數","9,223.40","-","23.43","-0.25","",
"臺灣中型100指數","8,574.97","+","83.71","0.99","",
"臺灣資訊科技指數","13,572.62","-","44.59","-0.33","",
"臺灣發達指數","8,588.39","+","19.28","0.22","",
"臺灣高股息指數","6,696.03","+","44.63","0.67","",
"臺灣就業99指數","6,967.99","+","26.47","0.38","",
"臺灣高薪100指數","6,515.56","-","0.03","--","",
"未含金融指數","10,121.72","+","15.70","0.16","",
"未含電子指數","14,981.68","+","22.11","0.15","",
"未含金融電子指數","12,339.91","+","41.18","0.33","",
"小型股300指數","6,727.22","+","68.76","1.03","",
"水泥窯製類指數","610.36","+","1.11","0.18","",
"塑膠化工類指數","835.06","+","2.28","0.27","",
"機電類指數","2,951.70","+","2.14","0.07","",
"水泥類指數","169.85","+","0.23","0.14","",
"食品類指數","1,761.14","-","2.62","-0.15","",
"塑膠類指數","257.00","+","0.28","0.11","",
"紡織纖維類指數","531.24","+","3.56","0.67","",
"電機機械類指數","176.78","+","0.26","0.15","",
"電器電纜類指數","48.32","+","0.44","0.92","",
"化學生技醫療類指數","97.74","+","0.57","0.59","",
"化學類指數","102.70","+","0.26","0.25","",
"生技醫療類指數","63.98","+","0.58","0.91","",
"玻璃陶瓷類指數","32.04","+","0.19","0.60","",
"造紙類指數","191.48","+","1.92","1.01","",
"鋼鐵類指數","100.17","-","0.19","-0.19","",
"橡膠類指數","262.68","+","1.95","0.75","",
"汽車類指數","339.19","+","0.50","0.15","",
"電子工業類指數","528.48","+","0.35","0.07","",
"半導體類指數","226.99","-","0.72","-0.32","",
"電腦及週邊設備類指數","103.07","+","0.18","0.17","",
"光電類指數","42.00","+","0.69","1.67","",
"通信網路類指數","127.22","-","0.75","-0.59","",
"電子零組件類指數","115.04","+","1.64","1.45","",
"電子通路類指數","118.04","+","0.17","0.14","",
"資訊服務類指數","117.80","-","0.03","-0.03","",
"其他電子類指數","88.40","+","0.40","0.45","",
"建材營造類指數","300.89","+","1.50","0.50","",
"航運類指數","65.45","+","0.17","0.26","",
"觀光類指數","99.14","+","0.62","0.63","",
"金融保險類指數","1,353.09","-","3.30","-0.24","",
"貿易百貨類指數","248.18","-","0.72","-0.29","",
"油電燃氣類指數","124.80","+","1.45","1.18","",
"其他類指數","279.03","+","1.46","0.53","",
"臺指日報酬兩倍指數","19,944.15","+","40.18","0.20","",
"臺指反向一倍指數","6,406.38","-","6.47","-0.10","",
"電子類兩倍槓桿指數","17,842.10","+","23.62","0.13","",
"電子類反向指數","6,312.32","-","4.19","-0.07","",
"價格指數(跨市場)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"臺灣生技指數","4,403.94","+","5.31","0.12","",
"臺灣中小型公司治理指數","5,597.54","+","23.86","0.43","",
"臺灣IPO指數","5,478.00","+","38.98","0.72","",
"智慧中立指數","--","","--","--","",
"價格指數(臺灣指數公司)"
"指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"金融類日報酬兩倍指數","22,279.74","-","108.94","-0.49","",
"金融類日報酬反向一倍指數","6,208.52","+","15.07","0.24","",
"漲升股利150指數","6,644.95","+","30.61","0.46","",
"漲升股利100指數","6,614.70","+","21.08","0.32","",
"藍籌30指數","6,361.38","-","1.04","-0.02","",
"工業菁英30指數","6,749.89","+","18.92","0.28","",
"電子菁英30指數","6,649.28","+","7.03","0.11","",
"低波動股利精選30指數","6,162.76","-","20.62","-0.33","",
"低貝塔100指數","5,971.74","-","13.72","-0.23","",
"藍籌30反向一倍指數","7,476.48","+","1.22","0.02","",
"中小型精選50指數","5,823.32","+","23.42","0.40","",
"中小型A級動能50指數","7,337.69","+","74.66","1.03","",
"特選高息低波指數","5,417.04","+","7.93","0.15","",
"臺灣永續指數","5,983.39","-","12.99","-0.22","",
"工業菁英30反向一倍指數","8,160.13","-","23.00","-0.28","",
"特選內需高收益指數","5,696.05","-","14.71","-0.26","",
"價值投資指數","6,088.60","+","62.27","1.03","",
"中小型300指數","6,105.95","+","58.49","0.97","",
"臺灣勞工權益指數","5,696.11","-","19.85","-0.35","",
"智慧投資多因子30指數","5,147.41","+","34.51","0.67","",
"臺股期貨指數","--","","--","--","",
"報酬指數(臺灣證券交易所)"
"報酬指數","收盤指數","漲跌(+/-)","漲跌點數","漲跌百分比(%)","特殊處理註記",
"寶島股價報酬指數","17,074.92","+","25.40","0.15","",
"發行量加權股價報酬指數","22,226.67","+","22.40","0.10","",
"臺灣公司治理100報酬指數","8,411.80","-","17.53","-0.21","",
"臺灣50報酬指數","--","","--","--","",
"臺灣50權重上限30%報酬指數","--","","--","--","",
"臺灣中型100報酬指數","--","","--","--","",
"臺灣資訊科技報酬指數","--","","--","--","",
"臺灣發達報酬指數","--","","--","--","",
"臺灣高股息報酬指數","--","","--","--","",
"臺灣就業99報酬指數","9,628.15","+","36.58","0.38","",
"臺灣高薪100報酬指數","8,164.43","-","0.03","--","",
"未含金融電子報酬指數","23,248.82","+","77.58","0.33","",
"小型股300報酬指數","7,930.83","+","81.06","1.03","",
"水泥類報酬指數","284.40","+","0.39","0.14","",
"食品類報酬指數","2,454.61","-","3.65","-0.15","",
