資料日期,證券代號,持股分級,人數,股數,占集保庫存數比例%
20200424,0050,1,47540,11615707,1.13
20200424,0050,2,97769,187777790,18.38
20200424,0050,3,10259,79258432,7.75
20200424,0050,4,2749,35201379,3.44
20200424,0050,5,1538,28042045,2.74
20200424,0050,6,1232,31061323,3.04
20200424,0050,7,538,19160515,1.87
20200424,0050,8,325,15052384,1.47
20200424,0050,9,510,36313253,3.55
20200424,0050,10,183,25872651,2.53
20200424,0050,11,65,18960421,1.85
20200424,0050,12,15,7585199,0.74
20200424,0050,13,5,3595000,0.35
20200424,0050,14,6,5540000,0.54
20200424,0050,15,63,516463901,50.55
20200424,0050,16,0,0,0.00
20200424,0050,17,162797,1021500000,100.00
20200424,0051,1,300,54337,0.57
20200424,0051,2,1548,2878156,30.29
20200424,0051,3,131,1052825,11.08
20200424,0051,4,35,433516,4.56
20200424,0051,5,30,556232,5.85
20200424,0051,6,14,361000,3.80
20200424,0051,7,11,377934,3.97
20200424,0051,8,3,143000,1.50
20200424,0051,9,8,534000,5.62
20200424,0051,10,4,517000,5.44
20200424,0051,11,3,692000,7.28
20200424,0051,12,1,413000,4.34
20200424,0051,13,2,1487000,15.65
20200424,0051,14,0,0,0.00
20200424,0051,15,0,0,0.00
20200424,0051,16,0,0,0.00
20200424,0051,17,2090,9500000,100.00
20200424,0052,1,1787,401758,1.33
20200424,0052,2,871,1605271,5.35
20200424,0052,3,70,538585,1.79
20200424,0052,4,8,103621,0.34
20200424,0052,5,7,126000,0.42
20200424,0052,6,5,125000,0.41
20200424,0052,7,3,110000,0.36
20200424,0052,8,2,81765,0.27
20200424,0052,9,7,456000,1.52
20200424,0052,10,5,743000,2.47
20200424,0052,11,0,0,0.00
20200424,0052,12,0,0,0.00
20200424,0052,13,0,0,0.00
20200424,0052,14,0,0,0.00
20200424,0052,15,2,25709000,85.69
20200424,0052,16,0,0,0.00
20200424,0052,17,2767,30000000,100.00
20200424,0053,1,64,7112,0.10
20200424,0053,2,692,1418888,21.86
20200424,0053,3,95,817000,12.59
20200424,0053,4,11,147000,2.26
20200424,0053,5,21,405000,6.24
20200424,0053,6,7,178000,2.74
20200424,0053,7,2,71000,1.09
20200424,0053,8,2,100000,1.54
20200424,0053,9,2,155000,2.38
