﻿資料日期,證券代號,持股分級,人數,股數,占集保庫存數比例%
20200508,0050,1,49412,12135890,1.18
20200508,0050,2,98334,188364787,18.44
20200508,0050,3,10304,79650009,7.79
20200508,0050,4,2713,34685517,3.39
20200508,0050,5,1540,28145690,2.75
20200508,0050,6,1224,30988275,3.03
20200508,0050,7,516,18421509,1.80
20200508,0050,8,329,15227153,1.49
20200508,0050,9,503,35870797,3.51
20200508,0050,10,175,24829202,2.43
20200508,0050,11,68,19398421,1.89
20200508,0050,12,14,6914000,0.67
20200508,0050,13,5,3638652,0.35
20200508,0050,14,8,7313000,0.71
20200508,0050,15,62,515917098,50.50
20200508,0050,16,0,0,0.00
20200508,0050,17,165207,1021500000,100.00
20200508,0051,1,297,54604,0.57
20200508,0051,2,1534,2869600,30.20
20200508,0051,3,130,1042217,10.97
20200508,0051,4,32,393645,4.14
20200508,0051,5,32,589000,6.20
20200508,0051,6,15,392000,4.12
20200508,0051,7,10,338000,3.55
20200508,0051,8,4,183934,1.93
20200508,0051,9,8,528000,5.55
20200508,0051,10,4,519000,5.46
20200508,0051,11,3,679000,7.14
20200508,0051,12,1,416000,4.37
20200508,0051,13,2,1495000,15.73
20200508,0051,14,0,0,0.00
20200508,0051,15,0,0,0.00
20200508,0051,16,0,0,0.00
20200508,0051,17,2072,9500000,100.00
20200508,0052,1,1817,427121,1.40
20200508,0052,2,919,1689667,5.53
20200508,0052,3,76,583697,1.91
20200508,0052,4,9,111230,0.36
20200508,0052,5,6,113000,0.37
20200508,0052,6,6,138641,0.45
20200508,0052,7,2,70000,0.22
20200508,0052,8,3,133000,0.43
20200508,0052,9,5,342000,1.12
20200508,0052,10,5,707000,2.31
20200508,0052,11,2,474644,1.55
20200508,0052,12,0,0,0.00
20200508,0052,13,0,0,0.00
20200508,0052,14,0,0,0.00
20200508,0052,15,2,25710000,84.29
20200508,0052,16,0,0,0.00
20200508,0052,17,2852,30500000,100.00
20200508,0053,1,66,7191,0.11
20200508,0053,2,695,1429809,22.03
20200508,0053,3,96,820000,12.63
20200508,0053,4,11,147000,2.26
20200508,0053,5,21,408000,6.28
20200508,0053,6,6,149000,2.29
20200508,0053,7,3,108000,1.66
20200508,0053,8,2,100000,1.54
20200508,0053,9,2,155000,2.38
20200508,0053,10,1,200000,3.08
20200508,0053,11,1,372000,5.73
20200508,0053,12,1,594000,9.15
20200508,0053,13,1,614000,9.46
20200508,0053,14,0,0,0.00
20200508,0053,15,1,1384000,21.33
20200508,0053,16,0,0,0.00
20200508,0053,17,907,6488000,100.00
20200508,0054,1,61,6778,0.06
20200508,0054,2,879,1848180,18.25
20200508,0054,3,137,1182000,11.67
20200508,0054,4,45,608000,6.00
20200508,0054,5,39,759000,7.49
20200508,0054,6,9,232042,2.29
20200508,0054,7,12,442000,4.36
20200508,0054,8,5,237000,2.34
20200508,0054,9,6,522000,5.15
20200508,0054,10,4,603000,5.95
20200508,0054,11,2,768000,7.58
20200508,0054,12,1,488000,4.82
20200508,0054,13,0,0,0.00
20200508,0054,14,0,0,0.00
20200508,0054,15,1,2428000,23.98
20200508,0054,16,0,0,0.00
20200508,0054,17,1201,10124000,100.00
20200508,0055,1,205,39798,0.10
20200508,0055,2,2523,5486099,14.96
20200508,0055,3,468,3962920,10.81
20200508,0055,4,117,1542029,4.20
20200508,0055,5,109,2062348,5.62
20200508,0055,6,79,2086181,5.69
20200508,0055,7,45,1621100,4.42
20200508,0055,8,26,1246000,3.39
20200508,0055,9,34,2442000,6.66
20200508,0055,10,18,2399000,6.54
20200508,0055,11,7,2000000,5.45
20200508,0055,12,3,1360525,3.71
20200508,0055,13,1,798000,2.17
20200508,0055,14,0,0,0.00
20200508,0055,15,3,9608000,26.21
20200508,0055,16,0,0,0.00
20200508,0055,17,3638,36654000,100.00
20200508,0056,1,28735,9776881,0.44
20200508,0056,2,195975,431978556,19.77
20200508,0056,3,36611,290775314,13.31
20200508,0056,4,11717,151068599,6.91
20200508,0056,5,7329,135541879,6.20
20200508,0056,6,6003,153697145,7.03
20200508,0056,7,2734,98352007,4.50
20200508,0056,8,1671,77618496,3.55
20200508,0056,9,2621,185765647,8.50
20200508,0056,10,872,119863912,5.48
20200508,0056,11,261,71760255,3.28
20200508,0056,12,45,22835542,1.04
20200508,0056,13,16,11308400,0.51
20200508,0056,14,5,4523000,0.20
20200508,0056,15,45,419168367,19.19
20200508,0056,16,0,0,0.00
20200508,0056,17,294640,2184034000,100.00
20200508,0057,1,25,1479,0.03
20200508,0057,2,66,115000,2.54
20200508,0057,3,5,42000,0.92
20200508,0057,4,2,24000,0.53
20200508,0057,5,3,55000,1.21
20200508,0057,6,2,57000,1.25
20200508,0057,7,1,33000,0.72
20200508,0057,8,0,0,0.00
20200508,0057,9,1,89000,1.96
20200508,0057,10,2,315521,6.96
20200508,0057,11,3,883000,19.50
20200508,0057,12,0,0,0.00
20200508,0057,13,0,0,0.00
20200508,0057,14,0,0,0.00
20200508,0057,15,1,2912000,64.32
20200508,0057,16,0,0,0.00
20200508,0057,17,111,4527000,100.00
20200508,0061,1,538,157099,0.06
20200508,0061,2,7853,18724953,7.57
20200508,0061,3,2038,17326431,7.01
20200508,0061,4,699,9255423,3.74
20200508,0061,5,581,11016844,4.45
20200508,0061,6,510,13487752,5.45
20200508,0061,7,276,10176226,4.11
20200508,0061,8,217,10374082,4.19
20200508,0061,9,390,28591433,11.57
20200508,0061,10,170,24714446,10.00
20200508,0061,11,77,21108418,8.54
20200508,0061,12,28,13829893,5.59
20200508,0061,13,15,10563000,4.27
20200508,0061,14,6,5209000,2.10
20200508,0061,15,19,52581000,21.27
20200508,0061,16,0,0,0.00
20200508,0061,17,13417,247116000,100.00
20200508,006201,1,75,15372,0.07
20200508,006201,2,1061,2411974,11.24
20200508,006201,3,225,1939992,9.04
20200508,006201,4,51,671000,3.12
